"file_name","class","reason","title","pdf_version"
"genuine_01_sale_deed_arjun_priya.png","genuine","Consistent names, property ID, and registered amount.","SALE DEED","genuine_01_sale_deed_arjun_priya.pdf"
"genuine_02_lease_agreement_ravi_maya.png","genuine","Clean lease document with matching tenant and owner information.","LEASE AGREEMENT","genuine_02_lease_agreement_ravi_maya.pdf"
"genuine_03_gift_deed_sunita_amit.png","genuine","Gift deed with consistent donor, donee, and parcel references.","GIFT DEED","genuine_03_gift_deed_sunita_amit.pdf"
"genuine_04_property_tax_receipt_harish.png","genuine","Tax receipt with valid assessment and payment details.","PROPERTY TAX RECEIPT","genuine_04_property_tax_receipt_harish.pdf"
"genuine_05_encumbrance_certificate_neha.png","genuine","Encumbrance certificate with no conflicting entries.","ENCUMBRANCE CERTIFICATE","genuine_05_encumbrance_certificate_neha.pdf"
"fake_01_sale_deed_owner_mismatch.png","fake","Seller name conflicts with owner declaration at the bottom.","SALE DEED","fake_01_sale_deed_owner_mismatch.pdf"
"fake_02_property_id_conflict.png","fake","Property ID and municipal assessment number do not match.","PROPERTY TAX RECEIPT","fake_02_property_id_conflict.pdf"
"fake_03_overwritten_sale_amount.png","fake","Sale amount line shows a suspicious overwritten figure.","SALE DEED","fake_03_overwritten_sale_amount.pdf"
"fake_04_missing_registration_status.png","fake","Lease document claims registration but shows status pending.","LEASE AGREEMENT","fake_04_missing_registration_status.pdf"
"fake_05_encumbrance_liability_hidden.png","fake","Encumbrance section contradicts mortgage note in the last line.","ENCUMBRANCE CERTIFICATE","fake_05_encumbrance_liability_hidden.pdf"
"fake_06_date_mismatch_partition_deed.png","fake","Execution date conflicts with footer registry reference date.","PARTITION DEED",""
"fake_07_area_value_mismatch.png","fake","Property area is too small for the declared valuation and category.","VALUATION CERTIFICATE",""
"fake_08_signature_panel_missing.png","fake","Signature line is present for seller but buyer confirmation text says signature unavailable.","SALE AGREEMENT",""
"fake_09_duplicate_registry_reference.png","fake","Footer registry reference duplicates another known document identifier.","SALE DEED",""
"fake_10_buyer_name_variation.png","fake","Buyer name in body differs from footer confirmation line.","LEASE AGREEMENT",""
